,Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category
0,1641984,2,0,1,0,76,1,13,104,101,0,5,5,0,2,0.6963600000000001,0.11398499999999999,0.15421500000000002,1.0
1,1658010,2,0,2,2,63,0,2,163,163,0,3,5,0,2,0.0,1.0,0.0,1.0
2,1674737,5,2,2,2,24,1,7,82,82,7750,1,1,0,2,1.0,0.0,0.0,1.0
3,1675224,8,2,0,2,16,0,5,124,124,0,1,1,0,0,1.0,0.0,0.0,1.0
4,1689785,2,0,2,2,69,0,11,91,13,69756,1,1,0,2,0.0,0.141125,0.0,4.0
5,1692390,8,2,2,2,89,0,3,114,0,232522,5,1,0,2,0.0,0.000877,0.0,5.0
6,1935837,3,0,2,0,111,1,12,112,112,20001,4,5,0,2,0.308863,0.568487,0.12265,2.0
7,1952571,2,0,2,0,82,0,6,70,70,450000,1,1,0,0,0.26361,0.73639,0.0,6.0
8,1999486,0,0,1,0,68,0,8,156,156,250000,1,5,0,1,0.0,0.562821,0.437179,6.0
9,2052337,2,0,2,2,18,0,7,50,50,55003,1,1,0,2,0.0,0.585317,0.41468299999999997,4.0
10,2100568,2,0,1,0,76,0,8,165,165,0,1,2,0,2,0.417729,0.23558,0.34669099999999997,1.0
11,2190367,3,0,0,0,87,0,5,142,142,400000,5,5,0,0,0.015482,0.370162,0.614356,6.0
12,2217068,6,2,0,2,35,0,6,31,31,10000,2,1,0,2,0.0,0.167213,0.832787,2.0
13,2223143,2,0,2,2,16,0,5,208,208,232522,1,1,0,2,0.946076,0.053924,0.0,5.0
14,2228661,0,0,0,0,81,0,10,138,138,200000,4,5,4,0,0.0,0.7300439999999999,0.269956,5.0
15,2228983,0,0,1,0,79,1,5,32,32,0,5,1,0,0,0.024845,0.45652200000000004,0.518634,1.0
16,2263363,10,0,0,2,83,0,13,130,130,60000,4,3,0,2,0.12182,0.558982,0.319198,4.0
17,2277276,3,0,2,0,65,0,17,150,150,250009,5,5,0,0,0.068182,0.625,0.306818,6.0
18,2280685,8,2,1,0,91,0,6,103,103,500000,1,3,0,0,0.0,1.0,0.0,7.0
19,2284303,8,2,1,0,65,0,13,125,125,100000,1,5,0,1,0.029695,0.128411,0.841894,5.0
20,2289905,8,2,2,0,89,0,7,60,60,150000,5,4,0,2,0.313433,0.686567,0.0,5.0
21,2292996,8,2,0,2,62,0,14,88,87,210000,5,3,0,2,0.041096,0.8379,0.11757999999999999,5.0
22,2296022,2,0,0,2,16,0,8,169,169,3000,3,2,0,2,0.189125,0.810875,0.0,1.0
23,2315483,5,2,0,0,83,0,7,90,48,80000,3,5,0,2,0.0,0.403352,0.134078,4.0
24,2315706,5,2,1,2,73,1,9,127,127,40721,1,1,1,2,0.403467,0.43814,0.158392,3.0
25,2315732,5,2,0,2,76,0,8,133,133,64000,1,4,0,2,0.141679,0.344828,0.513493,4.0
26,2345802,5,2,0,0,86,0,2,119,119,51000,1,3,0,2,1.0,0.0,0.0,4.0
27,2368166,7,0,1,0,60,0,8,101,101,50000,5,3,0,2,0.740631,0.089744,0.169625,4.0
28,3255657,8,2,1,0,72,0,9,123,123,500000,1,5,0,1,0.381729,0.401305,0.216966,7.0
29,3256426,7,0,1,0,44,0,4,9,9,35812,1,3,2,2,0.0,0.0,1.0,3.0
30,3258440,2,0,1,0,1,1,8,192,192,109767,5,3,1,1,0.087884,0.8611540000000001,0.049922,5.0
31,4127586,0,0,1,0,86,0,6,78,78,400000,1,5,0,0,0.02046,0.148338,0.831202,6.0
32,4130619,8,2,0,2,49,0,2,149,149,70000,1,2,0,2,0.0,1.0,0.0,4.0
33,4169974,8,2,1,0,138,1,4,59,50,0,5,3,0,0,0.0,0.042158999999999995,0.7925800000000001,1.0
34,4270911,6,2,0,0,77,0,2,119,119,566077,1,1,0,1,0.0,0.0,1.0,7.0
35,4299750,8,2,2,2,91,1,8,57,57,201519,5,2,0,0,0.0,1.0,0.0,5.0
36,4351439,2,0,1,2,91,0,6,97,97,10000,3,2,0,0,0.0,1.0,0.0,2.0
37,4362737,6,2,0,0,76,0,10,95,95,134969,1,4,0,2,0.0,0.142558,0.857442,5.0
38,4478161,0,0,0,0,77,0,6,111,111,260000,5,4,0,0,0.147482,0.7428060000000001,0.10971199999999999,6.0
39,4488903,8,2,0,2,45,0,8,128,128,0,1,3,0,2,0.442533,0.130571,0.426896,1.0
40,4495075,8,2,0,0,85,0,4,62,62,75000,4,4,0,2,0.012987,0.9870129999999999,0.0,4.0
41,4538348,9,3,1,0,54,0,8,128,121,700000,1,1,0,2,0.217018,0.403591,0.320062,7.0
42,4548217,0,0,2,0,84,1,8,40,39,39373,1,1,0,2,0.0,0.6025,0.3675,3.0
43,4562313,8,2,0,0,78,0,4,35,35,70000,3,3,0,2,0.259259,0.740741,0.0,4.0
44,4569449,0,0,2,2,63,0,21,31,31,10000,1,4,0,2,0.0,0.022876,0.977124,2.0
45,4569795,2,0,1,0,84,0,6,98,98,210843,1,2,0,0,0.182564,0.289231,0.528205,5.0
46,4569954,2,0,1,2,24,1,9,61,48,63000,1,3,0,2,0.39869299999999996,0.01634,0.362745,4.0
47,4574254,7,0,2,2,74,1,8,108,105,46504,5,2,2,2,0.0,0.123491,0.847725,3.0
48,4574291,7,0,2,2,24,1,5,64,64,67431,5,2,0,2,0.0,1.0,0.0,4.0
49,4604833,6,2,0,0,89,0,8,93,93,73619,1,1,0,2,0.0,0.190065,0.8099350000000001,4.0
50,4605197,0,0,0,0,85,0,8,98,98,92024,1,1,0,0,0.0,0.310591,0.689409,4.0
51,4605474,5,2,2,0,91,0,7,92,92,8000,2,1,0,2,0.0,0.411509,0.588491,1.0
52,4618906,7,0,2,2,62,0,4,71,71,0,1,1,0,1,0.0,1.0,0.0,1.0
53,4622214,7,0,1,0,84,0,3,99,99,60000,4,4,0,2,0.9076139999999999,0.092386,0.0,4.0
